ticker	nome	segmento	tipoGestao	cotacao	patrimonioLiquido	vpPorCota	ultimoRendimento	p_vp	negociacoesDiarias	ultimoDividendYield	dividendYieldL52W_media	dividendYieldL52W_mediana	dividendYieldL52W_desvioPadrao	dividendYieldL52W_coefVariacao	dividendYieldL52W_tamAmostra	dividendYieldL52W_dataRefMaisRecente
ABCP11	FDO INV IMOB GRAND PLAZA SHOPPING	Shoppings	1.000.000	R$ 68,00	R$ 1,1 bi	R$ 88,62	-5,21%	0,77	961	0,61%	0,00469	0,00536	0,00229	0	67	Setembro/2021
AFCR11	AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.	Híbrido	668.732	R$ 104,93	R$ 154,9 mi	R$ 102,29	-0,50%	1,03	5.912	1,13%	0,00955	0,00915	0,00156	0	15	Setembro/2021
AFHI11	AF INVEST CRI FDO. INV. IMOB – RECEBÍVEIS IMOB.	Títulos e Val. Mob.	1.787.671	R$ 93,70	R$ 174,5 mi	R$ 97,63	1,51%	0,96	4.542	1,10%	0,00933	0,00943	0,00164	0	5	Setembro/2021
AFOF11	ALIANZA FOFII FDO. INVEST. IMOB.	Títulos e Val. Mob.	1.000.000	R$ 81,31	R$ 69,5 mi	R$ 100,58	-12,45%	0,81	793	1,06%	0,04652	0,04557	0,03767	0	4	Setembro/2021
AIEC11	AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.	Lajes Corporativas	4.800.000	R$ 73,78	R$ 485,1 mi	R$ 100,53	0,26%	0,73	2.183	0,75%	0,00648	0,00630	0,00062	0	12	Setembro/2021
ALMI11	FDO INV IMOB - FII TORRE ALMIRANTE	Lajes Corporativas	104.700	R$ 1.075,00	R$ 228,9 mi	R$ 2.058,96	2,27%	0,52	228	0,00%	0,00000	0,00000	0,00000	0	34	Outubro/2018
ALZR11	ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB	Logística	997.042	R$ 114,29	R$ 643 mi	R$ 108,58	0,19%	1,05	9.155	0,54%	0,00448	0,00476	0,00118	0	46	Setembro/2021
ANCR11B	FDO INV IMOB - FII ANCAR IC	N/A	276.117	R$ 3.366,00	R$ 1,5 bi	R$ 3.368,54	N/A	1,00	1	N/A	
AQLL11	ÁQUILLA FDO INV IMOB - FII	Títulos e Val. Mob.	500.00	R$ 500,00	R$ 145,5 mi	R$ 1.481,39	0,00%	0,34	1	0,00%	0,00000	0,00000	0,00000	0	4	Abril/2016
ARCT11	RIZA ARCTIUM REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	1.597.568	R$ 100,52	R$ 164,7 mi	R$ 103,11	-0,13%	0,97	5.633	1,12%	0,01280	0,00909	0,00902	0	18	Setembro/2021
ARFI11B	ÁQUILLA RENDA FDO INV IMOB - FII	Títulos e Val. Mob.	106.856	R$ 1.109,00	R$ 134,5 mi	R$ 1.179,65	0,00%	0,94	153	N/A	nan	nan	nan	0	0	N/A
ARRI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	392.374	R$ 96,80	R$ 99,7 mi	R$ 95,07	-3,31%	1,02	2.332	1,14%	0,01020	0,00924	0,00270	0	22	Setembro/2021
ATCR11	ÁTICO RENDA FDO INV IMOB - FII	Títulos e Val. Mob.	221.500	N/A	R$ 88,5 mi	R$ 95,31	0,00%	N/A	N/A	N/A	nan	nan	nan	0	0	N/A
ATSA11	HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB	Shoppings	1.715.200	R$ 98,01	R$ 172,6 mi	R$ 98,56	0,92%	0,99	10	0,18%	0,00228	0,00203	0,00143	0	50	Fevereiro/2020
ATWN11	FDO. INV. IMOB. A–TOWN	N/A	160.714	N/A	R$ 93,2 mi	R$ 579,67	N/A	N/A	N/A	N/A	
BARI11	FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII	Títulos e Val. Mob.	734.191	R$ 103,56	R$ 473,3 mi	R$ 102,14	-0,02%	1,01	17.544	1,09%	0,01149	0,01080	0,00260	0	28	Setembro/2021
BBFI11B	BB FDO INV IMOB PROGRESSIVO	Lajes Corporativas	130.000	R$ 2.280,00	R$ 329,1 mi	R$ 2.531,79	-1,54%	0,90	103	1,15%	0,01075	0,01096	0,00217	0	69	Setembro/2021
BBFO11	BB FUNDO DE FUNDOS - FDO. INV. IMOB.	Títulos e Val. Mob.	4.003.900	R$ 72,58	R$ 351,7 mi	R$ 87,84	-2,13%	0,83	1.137	0,79%	0,00608	0,00611	0,00136	0	9	Setembro/2021
BBIM11	BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII	Títulos e Val. Mob.	625.000	N/A	R$ 51,9 mi	R$ 50,13	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	6	Setembro/2021
BBPO11	BB PROGRESSIVO II FDO INV IMOB - FII	Lajes Corporativas	15.919.690	R$ 91,70	R$ 1,5 bi	R$ 95,88	-14,46%	0,96	20.735	0,84%	0,00873	0,00931	0,00079	0	69	Setembro/2021
BBRC11	BB RENDA CORPORATIVA FDO INV IMOB - FII	Outros	1.590.000	R$ 100,12	R$ 180,3 mi	R$ 113,40	-3,38%	0,88	1.594	0,80%	0,00732	0,00751	0,00060	0	69	Setembro/2021
BBVJ11	FDO INV IMOB BB VOTORANTIM JHSF C JARD CONT TOWER	Lajes Corporativas	2.710.000	R$ 62,99	R$ 155 mi	R$ 57,18	19,96%	1,10	763	0,61%	0,00125	0,00062	0,00221	0	36	Dezembro/2018
BCFF11	FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS	Títulos e Val. Mob.	20.562.973	R$ 70,33	R$ 2 bi	R$ 80,10	3,02%	0,88	56.182	0,69%	0,00600	0,00589	0,00055	0	69	Setembro/2021
