ticker	nome	segmento	tipoGestao	cotacao	dataCotacao	min52W	max52W	volumeMedioDiarioL2M	valorMercado	numeroCotas	dataUltimoRelatorio	urlHistorico	ffoYield	dividendYield	p_vp	ffoPorCota	dyPorCota	vpPorCota	ativos	patrimonioLiquido	qtdImoveis	qtdUnidades	imoveisPorPatrimonioLiquido	area	aluguelPorM2	precoPorM2	capRate	vacanciaMedia	
ABCP11	FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING	Shoppings	Passiva	61,02	26/11/2021	61,02	76,02	86.262	744.678.000	12.203.833	29/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=ABCP11&tipo=2	7,39%	7,3%	0,69	4,51	4,50	88,73	1.090.700.000	1.082.790.000	1	296	97,6%	69.628	936	10.433	9,0%	8,2%	
AEFI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL- FII	Outros	Ativa	174,90	30/04/2019	0,00	0,00	0	353.582.000	2.021.621	29/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=AEFI11&tipo=2	6,64%	0,0%	1,24	11,61	0,00	141,54	317.077.000	286.143.000	6	6	106,0%	92.188	284	4.066	7,0%	0,0%	
AFCR11	AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS	Híbrido	Ativa	103,15	12/11/2021	90,80	107,62	429.215	156.193.000	1.514.227	31/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFCR11&tipo=2	12,69%	12,7%	1,02	13,09	10,84	101,01	155.467.000	152.953.000	0	0	0,0%	0	-	-	-	-	
AFHI11	AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	Ativa	96,81	26/11/2021	85,18	98,43	917.080	173.064.000	1.787.671	31/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFHI11&tipo=2	3,40%	6,3%	0,99	3,29	6,15	97,75	177.383.000	174.736.000	0	0	0,0%	0	-	-	-	-	
AFOF11	ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	79,96	26/11/2021	60,75	267,54	139.106	55.267.700	691.192	29/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFOF11&tipo=2	3,33%	7,9%	0,81	2,66	11,14	99,29	69.557.200	68.625.500	0	0	0,0%	0	-	-	-	-	
AGCX11	FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII	Outros	Ativa	1.235,50	30/04/2019	0,00	0,00	0	14.317.200.000	11.588.199	29/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=AGCX11&tipo=2	0,52%	0,0%	11,75	6,43	0,00	105,13	1.452.920.000	1.218.230.000	87	88	111,0%	152.031	887	104.495	0,8%	0,5%	
AIEC11	AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Lajes Corporativas	Ativa	71,00	26/11/2021	70,56	88,76	564.397	342.574.000	4.824.987	29/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=AIEC11&tipo=2	10,08%	10,6%	0,71	7,15	6,99	100,66	510.178.000	485.670.000	2	2	98,8%	22.989	1.327	14.725	9,0%	0,0%	
ALMI11	FII TORRE ALMIRANTE	Lajes Corporativas	Passiva	1.025,00	26/11/2021	943,00	1.374,40	50.734	113.956.000	111.177	30/09/2021	https://fundamentus.com.br/fii_proventos.php?papel=ALMI11&tipo=2	-0,77%	0,0%	0,50	-7,89	0,00	2.058,91	232.811.000	228.903.000	1	25	96,3%	16.588	346	6.615	5,2%	65,1%	
ALZR11	ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO	Híbrido	Ativa	103,00	26/11/2021	101,49	125,41	1.030.210	609.967.000	5.922.011	31/10/2021	https://fundamentus.com.br/fii_proventos.php?papel=ALZR11&tipo=2	5,30%	6,5%	0,95	5,46	5,81	108,58	942.766.000	643.008.000	13	13	104,6%	113.613	349	5.618	6,2%	0,0%	
ANCR11B	FII ANCAR IC	Shoppings	Ativa	3.366,00	22/09/2021	3.052,61	3.754,02	0	1.518.450.000	451.113	-	https://fundamentus.com.br/fii_proventos.php?papel=ANCR11B&tipo=2	5,78%	2,7%	1,00	194,42	90,13	3.359,76	1.561.900.000	1.515.630.000	3	3	99,2%	102.767	1.346	14.657	9,2%	0,0%	
