ticker	nome	segmento	tipoGestao	cotacao	dataCotacao	min52W	max52W	volumeMedioDiarioL2M	valorMercado	numeroCotas	dataUltimoRelatorio	urlHistorico	ffoYield	dividendYield	p_vp	ffoPorCota	dyPorCota	vpPorCota	ativos	patrimonioLiquido	qtdImoveis	qtdUnidades	imoveisPorPatrimonioLiquido	area	aluguelPorM2	precoPorM2	capRate	vacanciaMedia	
ABCP11	FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING	Shoppings	Passiva	73,00	07/01/2022	59,97	74,71	100.846	890.880.000	12.203.832	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=ABCP11&tipo=2	6,17%	6,6%	0,80	4,51	4,88	91,73	1.128.490.000	1.119.460.000	1	296	97,7%	69.628	936	12.496	7,5%	8,2%	
AEFI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL- FII	Outros	Ativa	174,90	30/04/2019	0,00	0,00	0	353.582.000	2.021.621	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=AEFI11&tipo=2	6,64%	0,0%	1,24	11,61	0,00	141,61	316.961.000	286.287.000	6	6	106,0%	92.188	284	4.064	7,0%	0,0%	
AFCR11	AF INVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS	Híbrido	Ativa	103,15	12/11/2021	95,98	107,62	96.036	156.193.000	1.514.227	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFCR11&tipo=2	12,69%	11,9%	1,02	13,09	10,43	101,56	157.134.000	153.780.000	0	0	0,0%	0	-	-	-	-	
AFHI11	AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	Ativa	100,00	07/01/2022	84,09	100,00	863.477	178.767.000	1.787.671	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFHI11&tipo=2	3,29%	7,3%	1,01	3,29	7,40	98,91	179.550.000	176.826.000	0	0	0,0%	0	-	-	-	-	
AFOF11	ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	Ativa	85,28	07/01/2022	60,13	264,84	152.383	58.944.900	691.192	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=AFOF11&tipo=2	3,12%	8,4%	0,88	2,66	11,98	96,65	66.865.000	66.802.400	0	0	0,0%	0	-	-	-	-	
AGCX11	FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII	Outros	Ativa	1.235,50	30/04/2019	0,00	0,00	0	14.317.200.000	11.588.199	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=AGCX11&tipo=2	0,52%	0,0%	11,78	6,43	0,00	104,88	1.448.860.000	1.215.330.000	87	88	97,2%	152.031	887	91.579	1,0%	0,5%	
AIEC11	AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII	Lajes Corporativas	Ativa	73,39	07/01/2022	67,43	87,13	459.466	354.106.000	4.824.987	06/01/2022	https://fundamentus.com.br/fii_proventos.php?papel=AIEC11&tipo=2	9,75%	10,3%	0,73	7,15	7,08	100,83	510.955.000	486.481.000	2	2	98,6%	22.989	1.327	15.195	8,7%	0,0%	
ALMI11	FII TORRE ALMIRANTE	Lajes Corporativas	Passiva	1.002,00	07/01/2022	943,00	1.374,40	68.970	111.399.000	111.177	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=ALMI11&tipo=2	-0,79%	0,0%	0,45	-7,89	0,00	2.250,83	254.037.000	250.241.000	1	25	88,1%	16.588	346	5.915	5,8%	65,1%	
ALZR11	ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO	Híbrido	Ativa	113,00	07/01/2022	100,89	124,66	1.031.050	669.187.000	5.922.011	30/11/2021	https://fundamentus.com.br/fii_proventos.php?papel=ALZR11&tipo=2	4,83%	5,9%	1,04	5,46	5,90	108,59	945.490.000	643.083.000	13	13	104,6%	113.613	349	6.163	5,7%	0,0%	
ANCR11B	FII ANCAR IC	Shoppings	Ativa	3.500,00	05/01/2022	3.004,96	3.695,42	83	1.578.900.000	451.113	-	https://fundamentus.com.br/fii_proventos.php?papel=ANCR11B&tipo=2	5,55%	2,5%	1,04	194,42	90,13	3.359,76	1.561.900.000	1.515.630.000	3	3	99,3%	102.767	1.346	15.253	8,8%	0,0%	
APTO11	NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	Ativa	10,59	07/01/2022	10,45	11,17	35.850	10.484.100	990.000	-	https://fundamentus.com.br/fii_proventos.php?papel=APTO11&tipo=2	-1,10%	0,6%	1,10	-0,12	0,06	9,59	49.437.100	9.494.850	1	1	114,8%	822	0	14.646	0,0%	0,0%	
