ticker	name	fundType	manager	lastDividendYield	lastEarning	equity	equityPerShare	registrationDate	managementType	shareQuantity	standardDeviation	mean	median	sampleSize
ABCP11	Grand Plaza Shopping	Tijolo: Shoppings	Rio Bravo Investimentos	0,008199999999999999	R$0,58	R$1,12 B	R$91,73	15/05/1996	Renda Gestão Passiva	12.203.832	0,00221	0,00618	0,00618	10
AFHI11	AF Invest CRI	Papel: CRIs	BTG Pactual	0,0127	R$1,25	R$176,83 M	R$98,91	20/10/2020	Títulos e Valores Mobiliários Gestão Ativa	1.787.671	0,00244	0,00965	0,00965	8
AFOF11	Alianza FOF	Papel: Fundo de Fundos	BRL Trust DTVM	0,0098	R$0,84	R$66,80 M	R$96,65	22/01/2020	Títulos e Valores Mobiliários Gestão Ativa	691.192	0,00918	0,01302	0,01302	6
AIEC11	Autonomy Edifícios Corporativos	Tijolo: Escritórios	MAF DTVM	0,0084	R$0,61	R$486,48 M	R$100,83	24/08/2020	Renda Gestão Ativa	4.824.987	0,00085	0,00735	0,00735	10
ALMI11	Torre Almirante	Tijolo: Escritórios	BTG Pactual	0,0003	R$0,37	R$250,24 M	R$2.250,83	03/01/2006	Renda Gestão Passiva	111.177	0,01132	0,01516	0,01516	10
ALZR11	Alianza Trust Renda Imobiliária	Tijolo: Híbrido	BTG Pactual	0,0058	R$0,65	R$643,08 M	R$108,59	20/10/2017	Renda Gestão Ativa	5.922.011	0,00053	0,00547	0,00547	10
ANCR11B	Ancar IC	Tijolo: Shoppings	Genial Investimentos Corretora de Valores	0,015	R$52,60	R$1,52 B	R$3.359,75	11/04/2011	Desenvolvimento para Renda Gestão Ativa	451.113	-1.0	-1.0	0	0
APTO11	Navi Residencial	Híbrido (Tijolo/Papel)	BRL Trust DTVM	0,003	R$0,03	R$9,49 M	R$9,59	10/08/2021	Híbrido Gestão Ativa	990.000	0,00000	0,00300	0,00300	1
ARCT11	Riza Arctium Real Estate	Tijolo: Galpões	BTG Pactual	0,016399999999999998	R$1,74	R$164,88 M	R$103,20	31/07/2017	Híbrido Gestão Ativa	1.597.568	0,00468	0,01081	0,01081	10
ARRI11	Átrio Reit Recebíveis Imobiliários	Papel: CRIs	Oliveira Trust	0,0182	R$1,75	R$97,93 M	R$93,42	01/07/2019	Títulos e Valores Mobiliários Gestão Ativa	1.048.320	0,00342	0,01250	0,01250	10
ATCR11	HAZ	Tijolo: Escritórios	RJI CTVM LTDA	0,0	R$0,30	R$72,73 M	R$78,30	12/11/2004	Títulos e Valores Mobiliários Gestão Ativa	928.908	-1.0	-1.0	0	0
ATSA11	Hedge Atrium Shopping Santo André	Tijolo: Shoppings	Hedge Investments DTVM LTDA	0,0026	R$0,25	R$171,92 M	R$98,18	13/12/2010	Desenvolvimento para Renda Gestão Passiva	1.751.141	0,00134	0,00269	0,00269	7
BARI11	Barigui Rendimento Imobiliários I	Papel: CRIs	Oliveira Trust	0,0132	R$1,35	R$471,53 M	R$101,75	05/07/2018	Títulos e Valores Mobiliários Gestão Ativa	4.634.191	0,00106	0,01068	0,01068	10
BBFI11B	BB Progressivo	Tijolo: Escritórios	BTG Pactual	0,0169	R$38,64	R$330,56 M	R$2.542,76	26/07/2004	Renda Gestão Passiva	130.000	0,00220	0,01171	0,01171	10
BBFO11	BB Fundo de Fundos	Papel: Fundo de Fundos	BB Gestão de Recursos	0,0091	R$0,68	R$328,80 M	R$82,12	26/10/2020	Títulos e Valores Mobiliários Gestão Passiva	4.003.900	0,00144	0,00720	0,00720	10
BBIM11	BB Recebiveis Imobiliários	Papel: CRIs	BB Gestão de Recursos	0,0	R$0,90	R$49,88 M	R$48,19	12/09/2014	Títulos e Valores Mobiliários Gestão Ativa	1.035.000	-1.0	-1.0	0	0
BBPO11	BB Progressivo II	Tijolo: Bancário	Votorantim Asset Management	0,0098	R$0,90	R$1,53 B	R$96,01	30/09/2011	Renda Gestão Passiva	15.919.690	0,00077	0,00914	0,00914	10
BBRC11	BB Renda Corporativa	Tijolo: Bancário	Votorantim Asset Management	0,0089	R$0,92	R$181,48 M	R$114,14	29/12/2010	Desenvolvimento para Renda Gestão Passiva	1.590.000	0,00081	0,00817	0,00817	10
BCFF11	BTG Pactual Fundo de Fundos	Papel: Fundo de Fundos	BTG Pactual	0,0070999999999999995	R$0,50	R$1,93 B	R$76,72	27/08/2009	Títulos e Valores Mobiliários Gestão Ativa	25.186.378	0,00061	0,00644	0,00644	10
BCIA11	Bradesco Carteira Imobiliária Ativa	Papel: Fundo de Fundos	Banco Bradesco	0,0075	R$0,64	R$365,35 M	R$98,24	03/11/2014	Títulos e Valores Mobiliários Gestão Ativa	3.719.038	0,00059	0,00701	0,00701	10
BCRI11	Banestes Recebíveis Imobiliários	Papel: CRIs	BRL Trust DTVM	0,0125	R$1,35	R$661,66 M	R$105,73	28/04/2015	Títulos e Valores Mobiliários Gestão Ativa	6.257.873	0,00143	0,01116	0,01116	10
BICE11	Brio Crédito Estruturado	Papel: CRIs	BRL Trust DTVM	0,0016	R$1,80	R$9,89 M	R$891,65	16/10/2020	Títulos e Valores Mobiliários Gestão Ativa	11.091	-1.0	-1.0	0	0
BICR11	Inter Títulos Imobiliários	Papel: CRIs	Inter DTVM	0,005699999999999999	R$0,56	R$49,46 M	R$98,92	05/07/2019	Renda Gestão Ativa	500.000	0,00135	0,00449	0,00449	10
BIME11	Brio Multiestrategia	Indefinido	BRL Trust DTVM	0,0105	R$0,10	R$55,55 M	R$9,50	18/06/2021	Renda Gestão Ativa	5.845.602	0,00410	0,00640	0,00640	2
BLCA11	Bluemacaw Catuai Triple A	Tijolo: Escritórios	BTG Pactual	0,0	R$0,00	R$160,74 M	R$100,46	28/07/2021	Híbrido Gestão Ativa	1.600.000	-1.0	-1.0	0	0
BLCP11	Bluecap Renda Logística	Tijolo: Galpões	BTG Pactual	0,0060999999999999995	R$0,50	R$225,88 M	R$98,37	27/01/2020	Renda Gestão Ativa	2.296.282	0,00068	0,00596	0,00596	7
BLMC11	Bluemacaw Crédito Imobiliário	Papel: CRIs	BTG Pactual	0,012	R$1,20	R$40,33 M	R$100,96	22/01/2021	Títulos e Valores Mobiliários Gestão Ativa	399.500	0,00113	0,01052	0,01052	4
BLMG11	Bluemacaw Logística	Tijolo: Galpões	Vórtx DTVM LTDA	0,0096	R$0,90	R$369,46 M	R$96,96	13/11/2019	Renda Gestão Ativa	3.810.588	0,00132	0,00869	0,00869	10
BLMO11	Bluemacaw Office Fund II	Tijolo: Escritórios	BRL Trust DTVM	0,0	R$0,00	R$99,07 M	R$26.090,68	04/12/2019	Híbrido Gestão Ativa	3.797	-1.0	-1.0	0	0
BLMR11	Bluemacaw Renda+ FOF	Papel: Fundo de Fundos	BRL Trust DTVM	0,0105	R$0,08	R$208,64 M	R$8,17	04/08/2020	Títulos e Valores Mobiliários Gestão Ativa	25.541.630	0,00106	0,00828	0,00828	10
BMII11	Brasilio Machado	Tijolo: Escritórios	Rio Bravo Investimentos	0,0	R$0,23	R$69,80 M	R$498,55	18/08/1997	Desenvolvimento para Renda Gestão Ativa	140.000	-1.0	-1.0	0	0
BMLC11	BM Brascan Lajes Corporativas	Tijolo: Escritórios	BTG Pactual	0,0077	R$0,69	R$106,56 M	R$106,73	21/09/2011	Renda Gestão Passiva	998.405	0,00076	0,00635	0,00635	10
BNFS11	Banrisul Novas Fronteiras	Tijolo: Bancário	Oliveira Trust	0,0101	R$1,27	R$72,84 M	R$104,05	09/05/2012	Desenvolvimento para Renda Gestão Ativa	700.000	0,00096	0,00922	0,00922	10
BPFF11	Brasil Plural Absoluto Fundo de Fundos	Papel: Fundo de Fundos	Genial Investimentos Corretora de Valores	0,009000000000000001	R$0,60	R$335,97 M	R$74,79	11/12/2012	Renda Gestão Ativa	4.492.326	0,00084	0,00792	0,00792	10
BPML11	BTG Pactual Shoppings	Tijolo: Shoppings	BTG Pactual	0,004	R$0,30	R$573,24 M	R$133,15	22/07/2019	Renda Gestão Passiva	4.305.079	0,00116	0,00432	0,00432	10
BPRP11	FII BRLPROP	Tijolo: Galpões	BTG Pactual	0,008	R$0,79	R$145,80 M	R$108,01	07/03/2018	Renda Gestão Passiva	1.349.837	0,00043	0,00717	0,00717	9
BRCO11	Bresco Logística	Tijolo: Galpões	Oliveira Trust	0,0064	R$0,63	R$1,75 B	R$118,66	13/07/2016	Híbrido Gestão Ativa	14.778.781	0,00064	0,00559	0,00559	10
BRCR11	BTG Pactual Corporate Office	Tijolo: Escritórios	BTG Pactual	0,006999999999999999	R$0,50	R$2,83 B	R$106,18	21/05/2007	Híbrido Gestão Ativa	26.638.202	0,00066	0,00602	0,00602	10
BREV11	Brazil Real Estate Victory Fund I	Tijolo: Escritórios	BR-CAPITAL	0,005699999999999999	R$0,54	R$101,66 M	R$105,11	22/09/2016	Renda Gestão Ativa	967.201	0,00092	0,00520	0,00520	3
BRHT11B	BR Hotéis	Tijolo: Hotéis	BNY Mellon	0,0	R$0,86	R$150,73 M	R$81,84	18/12/2012	Não Informado	1.841.677	-1.0	-1.0	0	0
BRIM11	Brio Real Estate II	Tijolo: Desenvolvimento	BRL Trust DTVM	0,006500000000000001	R$7,65	R$140,52 M	R$1.131,98	23/12/2015	Híbrido Gestão Ativa	124.137	0,01060	0,01710	0,01710	2
BRIP11	Brio Real Estate III	Tijolo: Desenvolvimento	BRL Trust DTVM	0,0	R$0,00	R$116,51 M	R$983,42	08/07/2020	Híbrido Gestão Ativa	118.474	-1.0	-1.0	0	0
BRLA11	BRL Prop II	Tijolo: Galpões	BTG Pactual	0,0068000000000000005	R$0,98	R$240,02 M	R$161,30	24/07/2020	Renda Gestão Passiva	1.488.031	0,00000	0,00640	0,00640	1
BTAL11	BTG Pactual Agro Logística	Tijolo: Outros	BTG Pactual	0,008199999999999999	R$0,80	R$616,13 M	R$102,99	22/01/2021	Renda Gestão Ativa	5.982.736	0,00231	0,00627	0,00627	10
BTCR11	BTG Pactual Crédito Imobiliário	Papel: CRIs	BTG Pactual	0,0098	R$0,90	R$476,20 M	R$99,00	01/03/2018	Títulos e Valores Mobiliários Gestão Ativa	4.810.097	0,00090	0,00784	0,00784	10
BTLG11	BTG Pactual Logística	Tijolo: Galpões	BTG Pactual	0,0069	R$0,72	R$1,52 B	R$99,99	16/04/2010	Renda Gestão Ativa	15.228.960	0,00054	0,00635	0,00635	10
BTRA11	BTG Pactual Terras Agrícolas	Indefinido	BTG Pactual	0,0092	R$0,90	R$336,03 M	R$99,87	14/04/2021	Renda Gestão Ativa	3.364.559	0,00259	0,00668	0,00668	5
BTSG11	BTSP I	Tijolo: Desenvolvimento	Inter DTVM	0,0	R$0,79	R$75,46 M	R$97,36	17/02/2020	Desenvolvimento para Renda Gestão Ativa	775.015	-1.0	-1.0	0	0
BTWR11	Btowers	Tijolo: Escritórios	BRL Trust DTVM	0,0046	R$0,49	R$87,70 M	R$108,37	28/07/2014	Renda Gestão Passiva	809.270	-1.0	-1.0	0	0
BVAR11	Brasil Varejo	Tijolo: Varejo	Rio Bravo Investimentos	0,12	R$12,00	R$674,20 M	R$1.077,78	27/10/2014	Renda Gestão Passiva	625.540	-1.0	-1.0	0	0
BZLI11	Brazil Realty	Híbrido (Tijolo/Papel)	Índigo Investimentos DTVM	0,0	R$0,00	R$431,45 M	R$10,91	--/--/--	Títulos e Valores Mobiliários Gestão Ativa	39.550.223	-1.0	-1.0	0	0
CACR11	Cartesia Recebíveis Imobiliários	Papel: CRIs	CM Capital Markets	0,0154	R$1,59	R$154,89 M	R$102,29	05/09/2019	Híbrido Gestão Ativa	1.514.227	0,00161	0,01078	0,01078	8
CARE11	Brazilian Graveyard and Death Care	Tijolo: Outros	Planner Trustee DTVM LTDA	0,0038	R$0,01	R$284,91 M	R$7,96	12/12/2011	Títulos e Valores Mobiliários Gestão Ativa	35.773.369	0,00205	0,00324	0,00324	9
CBOP11	Castello Branco Office Park	Tijolo: Escritórios	Credit Suisse Hedging-Griffo	0,041299999999999996	R$2,60	R$123,08 M	R$86,98	17/12/2012	Renda Gestão Passiva	1.415.000	0,01029	0,01047	0,01047	10
CEOC11	Cyrela Commercial Properties	Tijolo: Escritórios	BTG Pactual	0,0079	R$0,46	R$156,34 M	R$86,10	04/10/2012	Renda Gestão Passiva	1.815.696	0,00069	0,00697	0,00697	10
CFHI11	CF2	Tijolo: Desenvolvimento	Vórtx DTVM LTDA	0,0	R$36,51	R$80,35 M	R$1.061,76	23/09/2019	Híbrido Gestão Ativa	75.680	-1.0	-1.0	0	0
CJCT11	Cidade Jardim Continental Tower	Tijolo: Escritórios	Hedge Investments DTVM LTDA	0,0048	R$0,33	R$185,92 M	R$64,78	15/12/2010	Renda Gestão Passiva	2.870.000	0,00242	0,00188	0,00188	9
CNES11	CENESP	Tijolo: Escritórios	BTG Pactual	0,0039000000000000003	R$0,13	R$255,50 M	R$86,63	06/04/2011	Renda Gestão Passiva	2.949.248	0,00092	0,00258	0,00258	10
CORM11	Core Metropolis	Tijolo: Híbrido	BTG Pactual	0,0106	R$1,06	R$85,36 M	R$93,06	08/12/2020	Híbrido Gestão Ativa	917.304	0,00031	0,01023	0,01023	7
CPFF11	Capitania Reit FoF	Papel: Fundo de Fundos	BTG Pactual	0,0066	R$0,46	R$412,80 M	R$75,75	03/12/2019	Títulos e Valores Mobiliários Gestão Ativa	5.449.778	0,00115	0,00891	0,00891	10
CPTS11	Capitania Securities II	Papel: CRIs	BTG Pactual	0,0103	R$1,00	R$2,65 B	R$94,74	13/08/2014	Títulos e Valores Mobiliários Gestão Ativa	27.972.629	0,00022	0,01012	0,01012	10
CRFF11	Caixa Rio Bravo II	Papel: Fundo de Fundos	Caixa Econômica Federal	0,0076	R$0,51	R$56,20 M	R$81,44	05/11/2018	Títulos e Valores Mobiliários Gestão Ativa	690.040	0,00062	0,00602	0,00602	10
CTXT11	Centro Têxtil Internacional	Tijolo: Outros	Rio Bravo Investimentos	0,0005	R$0,01	R$113,11 M	R$43,60	01/08/1995	Desenvolvimento para Renda Gestão Passiva	2.594.279	0,00233	0,00322	0,00322	10
CVBI11	VBI CRI	Papel: CRIs	BRL Trust DTVM	0,0109	R$1,12	R$991,13 M	R$99,94	11/10/2017	Títulos e Valores Mobiliários Gestão Ativa	9.916.926	0,00129	0,00999	0,00999	10
CXAG11	Caixa Agências	Tijolo: Bancário	Oliveira Trust	0,0	R$0,00	R$209,06 M	R$100,00	04/06/2021	Renda Gestão Passiva	2.090.621	-1.0	-1.0	0	0
CXCE11B	Caixa Cedae	Tijolo: Escritórios	Caixa Econômica Federal	0,0083	R$0,37	R$139,35 M	R$81,35	11/08/2009	Renda Gestão Passiva	1.712.950	0,00322	0,01082	0,01082	10
CXCO11	Caixa Imóveis Corporativos	Tijolo: Escritórios	Vórtx DTVM LTDA	0,008199999999999999	R$0,65	R$394,27 M	R$100,46	10/12/2020	Renda Gestão Ativa	3.924.500	0,00093	0,00713	0,00713	9
CXRI11	Caixa Rio Bravo	Papel: Fundo de Fundos	Caixa Econômica Federal	0,0083	R$0,55	R$129,75 M	R$82,34	24/12/2012	Títulos e Valores Mobiliários Gestão Ativa	1.575.760	0,00086	0,00616	0,00616	10
